LOC;Time;Start;End;Biomass;Lignite;Coal;Gas;HardCoal;Oil;Shale;Peat;Geothermal;HydroPumped;Hydro;Marine;Nuclear;OtherRES;Solar;Waste;WindOffShore;WindOnShore;SwID
ALL;20220102T120222;20210801T023000;20210801T024500;14.919129949805;0;0;3.2905744562186;3.7646402677078;0;0;0;0;0;9.0072504182934;0;28.025655326269;0.1952035694367;0;0;19.297267150028;18.655883993307;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120222;20210801T024500;20210801T030000;15.016872890889;0;0;3.318335208099;3.8245219347582;0;0;0;0;0;9.0551181102362;0;28.205849268841;0.19685039370079;0;0;19.37570303712;18.138357705287;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120222;20210801T030000;20210801T031500;15.076228119706;0;0;3.3314511575381;3.8396386222473;0;0;0;0;0;9.0626764539808;0;28.289102202146;0.19762845849802;0;0;19.904009034444;17.363071710898;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120222;20210801T031500;20210801T033000;15.148936170213;0;0;3.3475177304965;3.8581560283688;0;0;0;0;0;9.1347517730496;0;28.45390070922;0.19858156028369;0;0;20.028368794326;16.879432624113;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120222;20210801T033000;20210801T034500;15.154961615013;0;0;3.3551322149559;3.866932044356;0;0;0;0;0;9.1555302814899;0;28.518623827125;0.19903326698891;0;0;19.931760022747;16.860961046346;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120222;20210801T034500;20210801T040000;15.2018322359;0;0;3.3781849413112;3.8648726023476;0;0;0;0;0;9.2470655596908;0;28.714572001145;0.20040080160321;0;0;19.381620383624;17.034068136273;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120222;20210801T040000;20210801T041500;15.454016298021;0;0;3.4342258440047;3.9289871944121;0;0;0;0;0;9.4295692665891;0;29.19091967404;0.20372526193248;0;0;18.917345750873;16.472642607683;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120222;20210801T041500;20210801T043000;15.497076023392;0;0;3.4502923976608;3.9473684210526;0;0;0;0;0;9.5321637426901;0;29.356725146199;0.2046783625731;0;0;18.74269005848;16.286549707602;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120222;20210801T043000;20210801T044500;15.524311657879;0;0;3.4563561804335;3.98359695372;0;0;0;0;0;9.5489162272994;0;29.408318687756;0.20503807850029;0;0;18.775629759813;16.110134739309;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120222;20210801T044500;20210801T050000;15.540540540541;0;0;3.4665099882491;3.9659224441833;0;0;0;0;0;9.6063454759107;0;29.494712103408;0.20564042303173;0;0;18.448883666275;16.274970622797;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120222;20210801T050000;20210801T051500;15.571343990527;0;0;3.4931912374186;3.9964476021314;0;0;0;0;0;9.6802841918295;0;29.692125518058;0.20722320899941;0;0;17.554766133807;16.844286560095;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120222;20210801T051500;20210801T053000;15.840096182747;0;0;3.5467388037271;4.0577096483318;0;0;0;0;0;9.8286744815149;0;30.14727983168;0.21039975954313;0;0;16.561466786895;16.801923654944;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120222;20210801T053000;20210801T054500;16.042617960426;0;0;3.5920852359209;4.1095890410959;0;0;0;0;0;9.8021308980213;0;30.502283105023;0.2130898021309;0.030441400304414;0;15.738203957382;16.925418569254;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120222;20210801T054500;20210801T060000;15.963581183612;0;0;3.5811836115326;4.0667678300455;0;0;0;0;0;9.8027314112291;0;30.440060698027;0.21244309559939;0.45523520485584;0;15.235204855842;17.207890743551;github.com/GreenCharge/PMC.gridmix
