HCID;SwID;Time;SetPt;AllowedDev;AST;AET
Hotwater1;SODVIN_v1;20210409T000000;60;NULL;20210322T010000;20210409T090000
20210405T070000;0.00;;;;;
20210405T080000;0.52;;;;;
20210405T090000;2.17;;;;;
20210405T100000;2.56;;;;;
20210405T110000;2.85;;;;;
20210405T120000;2.72;;;;;
20210405T130000;3.41;;;;;
20210405T140000;2.99;;;;;
20210405T150000;2.90;;;;;
20210405T160000;4.23;;;;;
20210405T170000;4.52;;;;;
20210405T180000;5.85;;;;;
20210405T190000;7.04;;;;;
20210405T200000;9.39;;;;;
20210405T210000;2.81;;;;;
20210405T220000;3.95;;;;;
20210405T230000;3.41;;;;;
20210406T000000;2.52;;;;;
20210406T010000;2.14;;;;;
20210406T020000;2.51;;;;;
20210406T030000;2.11;;;;;
20210406T040000;2.09;;;;;
20210406T050000;1.93;;;;;
20210406T060000;2.43;;;;;
20210406T070000;2.28;;;;;
20210406T080000;2.43;;;;;
20210406T090000;2.47;;;;;
20210406T100000;2.11;;;;;
20210406T110000;2.60;;;;;
20210406T120000;2.35;;;;;
20210406T130000;2.44;;;;;
20210406T140000;2.37;;;;;
20210406T150000;2.44;;;;;
20210406T160000;2.74;;;;;
20210406T170000;2.51;;;;;
20210406T180000;3.16;;;;;
20210406T190000;2.84;;;;;
20210406T200000;2.77;;;;;
20210406T210000;4.10;;;;;
20210406T220000;2.82;;;;;
20210406T230000;3.22;;;;;
20210407T000000;2.66;;;;;
20210407T010000;2.73;;;;;
20210407T020000;2.18;;;;;
20210407T030000;2.28;;;;;
20210407T040000;1.47;;;;;
20210407T050000;0.25;;;;;
20210407T060000;0.62;;;;;
20210407T070000;2.54;;;;;
20210407T080000;2.67;;;;;
20210407T090000;3.26;;;;;
20210407T100000;2.35;;;;;
20210407T110000;2.62;;;;;
20210407T120000;2.64;;;;;
20210407T130000;2.82;;;;;
20210407T140000;2.27;;;;;
20210407T150000;2.51;;;;;
20210407T160000;2.47;;;;;
20210407T170000;2.63;;;;;
20210407T180000;2.67;;;;;
20210407T190000;3.23;;;;;
20210407T200000;4.31;;;;;
20210407T210000;3.46;;;;;
20210407T220000;2.75;;;;;
20210407T230000;3.35;;;;;
20210408T000000;3.81;;;;;
20210408T010000;2.20;;;;;
20210408T020000;2.67;;;;;
20210408T030000;1.71;;;;;
20210408T040000;1.97;;;;;
20210408T050000;2.49;;;;;
20210408T060000;0.00;;;;;
20210408T070000;4.47;;;;;
20210408T080000;2.73;;;;;
20210408T090000;2.10;;;;;
20210408T100000;2.38;;;;;
20210408T110000;2.57;;;;;
20210408T120000;2.77;;;;;
20210408T130000;2.61;;;;;
20210408T140000;2.62;;;;;
20210408T150000;2.68;;;;;
20210408T160000;2.88;;;;;
20210408T170000;2.24;;;;;
20210408T180000;2.49;;;;;
20210408T190000;3.83;;;;;
20210408T200000;3.08;;;;;
20210408T210000;3.27;;;;;
20210408T220000;2.75;;;;;
20210408T230000;2.92;;;;;
20210409T000000;2.82;;;;;
20210409T010000;3.13;;;;;
20210409T020000;2.30;;;;;
20210409T030000;2.47;;;;;
20210409T040000;2.04;;;;;
20210409T050000;1.57;;;;;
20210409T060000;0.00;;;;;
20210409T070000;5.15;;;;;
20210409T080000;3.30;;;;;
20210409T090000;2.91;;;;;
