HCID;SwID;Time;SetPt;AllowedDev;AST;AET
HeatPump1;SODVIN_v1;20210409T000000;60;NULL;20210322T010000;20210409T150000
20210402T050000;0.49;;;;;
20210402T060000;0.00;;;;;
20210402T070000;0.00;;;;;
20210402T080000;0.88;;;;;
20210402T090000;1.00;;;;;
20210402T100000;1.01;;;;;
20210402T110000;0.96;;;;;
20210402T120000;0.93;;;;;
20210402T130000;0.96;;;;;
20210402T140000;0.98;;;;;
20210402T150000;0.97;;;;;
20210402T160000;0.98;;;;;
20210402T170000;0.99;;;;;
20210402T180000;1.04;;;;;
20210402T190000;1.09;;;;;
20210402T200000;1.02;;;;;
20210402T210000;1.00;;;;;
20210402T220000;1.03;;;;;
20210402T230000;1.02;;;;;
20210403T000000;1.03;;;;;
20210403T010000;1.02;;;;;
20210403T020000;1.01;;;;;
20210403T030000;1.01;;;;;
20210403T040000;0.94;;;;;
20210403T050000;0.83;;;;;
20210403T060000;0.61;;;;;
20210403T070000;0.00;;;;;
20210403T080000;0.41;;;;;
20210403T090000;1.02;;;;;
20210403T100000;1.05;;;;;
20210403T110000;1.01;;;;;
20210403T120000;1.02;;;;;
20210403T130000;0.98;;;;;
20210403T140000;0.93;;;;;
20210403T150000;0.96;;;;;
20210403T160000;0.94;;;;;
20210403T170000;0.97;;;;;
20210403T180000;0.97;;;;;
20210403T190000;0.99;;;;;
20210403T200000;1.04;;;;;
20210403T210000;1.03;;;;;
20210403T220000;0.99;;;;;
20210403T230000;0.97;;;;;
20210404T000000;0.89;;;;;
20210404T010000;1.00;;;;;
20210404T020000;0.87;;;;;
20210404T030000;0.88;;;;;
20210404T040000;0.87;;;;;
20210404T050000;0.74;;;;;
20210404T060000;0.00;;;;;
20210404T070000;0.00;;;;;
20210404T080000;0.00;;;;;
20210404T090000;0.92;;;;;
20210404T100000;1.00;;;;;
20210404T110000;0.97;;;;;
20210404T120000;0.97;;;;;
20210404T130000;0.98;;;;;
20210404T140000;0.98;;;;;
20210404T150000;1.00;;;;;
20210404T160000;0.99;;;;;
20210404T170000;0.97;;;;;
20210404T180000;0.99;;;;;
20210404T190000;0.99;;;;;
20210404T200000;1.02;;;;;
20210404T210000;1.00;;;;;
20210404T220000;0.90;;;;;
20210404T230000;0.99;;;;;
20210405T000000;0.99;;;;;
20210405T010000;0.96;;;;;
20210405T020000;0.82;;;;;
20210405T030000;0.62;;;;;
20210405T040000;0.00;;;;;
20210405T050000;0.00;;;;;
20210405T060000;0.00;;;;;
20210405T070000;0.00;;;;;
20210405T080000;0.90;;;;;
20210405T090000;1.04;;;;;
20210405T100000;1.11;;;;;
20210405T110000;1.00;;;;;
20210405T120000;1.03;;;;;
20210405T130000;1.03;;;;;
20210405T140000;1.02;;;;;
20210405T150000;1.02;;;;;
20210405T160000;1.00;;;;;
20210405T170000;1.00;;;;;
20210405T180000;1.03;;;;;
20210405T190000;1.02;;;;;
20210405T200000;0.99;;;;;
20210405T210000;0.98;;;;;
20210405T220000;0.99;;;;;
20210405T230000;1.02;;;;;
20210406T000000;1.01;;;;;
20210406T010000;1.00;;;;;
20210406T020000;1.07;;;;;
20210406T030000;1.03;;;;;
20210406T040000;1.02;;;;;
20210406T050000;0.99;;;;;
20210406T060000;0.96;;;;;
20210406T070000;1.00;;;;;
20210406T080000;0.93;;;;;
20210406T090000;0.91;;;;;
20210406T100000;0.90;;;;;
20210406T110000;0.93;;;;;
20210406T120000;0.94;;;;;
20210406T130000;0.91;;;;;
20210406T140000;0.91;;;;;
20210406T150000;0.87;;;;;
20210406T160000;0.94;;;;;
20210406T170000;0.91;;;;;
20210406T180000;0.92;;;;;
20210406T190000;0.98;;;;;
20210406T200000;0.95;;;;;
20210406T210000;0.96;;;;;
20210406T220000;0.90;;;;;
20210406T230000;1.12;;;;;
20210407T000000;1.06;;;;;
20210407T010000;0.94;;;;;
20210407T020000;0.90;;;;;
20210407T030000;0.70;;;;;
20210407T040000;0.00;;;;;
20210407T050000;0.00;;;;;
20210407T060000;0.89;;;;;
20210407T070000;1.09;;;;;
20210407T080000;1.04;;;;;
20210407T090000;1.00;;;;;
20210407T100000;0.97;;;;;
20210407T110000;0.98;;;;;
20210407T120000;1.00;;;;;
20210407T130000;0.99;;;;;
20210407T140000;0.95;;;;;
20210407T150000;0.95;;;;;
20210407T160000;0.95;;;;;
20210407T170000;0.95;;;;;
20210407T180000;1.00;;;;;
20210407T190000;1.01;;;;;
20210407T200000;0.98;;;;;
20210407T210000;0.97;;;;;
20210407T220000;0.97;;;;;
20210407T230000;1.01;;;;;
20210408T000000;1.01;;;;;
20210408T010000;0.99;;;;;
20210408T020000;0.97;;;;;
20210408T030000;0.98;;;;;
20210408T040000;0.91;;;;;
20210408T050000;0.88;;;;;
20210408T060000;0.88;;;;;
20210408T070000;0.93;;;;;
20210408T080000;0.97;;;;;
20210408T090000;0.92;;;;;
20210408T100000;0.88;;;;;
20210408T110000;0.91;;;;;
20210408T120000;0.92;;;;;
20210408T130000;0.96;;;;;
20210408T140000;0.97;;;;;
20210408T150000;1.00;;;;;
20210408T160000;0.98;;;;;
20210408T170000;0.95;;;;;
20210408T180000;0.94;;;;;
20210408T190000;0.94;;;;;
20210408T200000;0.90;;;;;
20210408T210000;0.91;;;;;
20210408T220000;0.89;;;;;
20210408T230000;0.85;;;;;
20210409T000000;0.90;;;;;
20210409T010000;0.84;;;;;
20210409T020000;0.87;;;;;
20210409T030000;0.84;;;;;
20210409T040000;0.72;;;;;
20210409T050000;0.18;;;;;
20210409T060000;0.98;;;;;
20210409T070000;0.88;;;;;
20210409T080000;0.94;;;;;
20210409T090000;0.83;;;;;
20210409T100000;0.88;;;;;
20210409T110000;0.90;;;;;
20210409T120000;0.93;;;;;
20210409T130000;0.77;;;;;
20210409T140000;0.87;;;;;
20210409T150000;0.86;;;;;
