LOC;Time;Start;End;Biomass;Lignite;Coal;Gas;HardCoal;Oil;Shale;Peat;Geothermal;HydroPumped;Hydro;Marine;Nuclear;OtherRES;Solar;Waste;WindOffShore;WindOnShore;SwID
ALL;20220102T120219;20191001T120000;20191001T121500;8.3827536464177;0;0;6.5234813271358;5.8502965218785;0;0;0;0;1.2021157236737;2.8850777368168;0;16.092322487578;0.048084628946947;21.557941977881;0;8.0141048244911;29.123256932201;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T121500;20191001T123000;8.4057971014493;0;0;6.5539452495974;5.8132045088567;0;0;0;0;1.1594202898551;2.914653784219;0;16.167471819646;0.048309178743961;21.561996779388;0;8.389694041868;28.66344605475;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T123000;20191001T124500;8.5075114304376;0;0;6.6459830176355;5.8458523840627;0;0;0;0;1.2410189418681;2.9229261920314;0;16.394513389941;0.048987589810581;21.766819072502;0;8.3278902677988;27.971913781842;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T124500;20191001T130000;8.5120314290391;0;0;6.6623015223441;5.8110983794402;0;0;0;0;0.99852676379113;3.0446881650025;0;16.434768374529;0.049107873629072;21.853003764937;0;8.0864298575872;28.220658045507;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T130000;20191001T131500;8.4939562234564;0;0;6.5991506043777;5.8150931068278;0;0;0;0;1.2577589023195;3.0708918654035;0;16.39986932375;0.049003593596864;21.365566808233;0;8.5429598170532;28.079059131003;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T131500;20191001T133000;8.5822743026902;0;0;6.6677669582439;5.8095395279749;0;0;0;0;0.72619244099686;3.0863178742367;0;16.570391153656;0.049513120977059;20.993563294273;0;8.8958574022116;28.28849645156;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T133000;20191001T134500;8.8424983027834;0;0;6.856754921928;5.8893414799728;0;0;0;0;0.79769178547183;3.173794976239;0;17.04005431093;0.05091649694501;20.298710115411;0;8.214528173795;28.496266123557;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T134500;20191001T140000;8.72471717518;0;0;6.9249228659582;5.9307507713404;0;0;0;0;1.1312992800823;3.1882070620501;0;17.175179979431;0.051422694549194;19.917723688721;0;8.1762084333219;28.436750085704;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T140000;20191001T141500;8.9790258276998;0;0;6.9856127578436;5.962905182874;0;0;0;0;0.34668053388802;3.2067949384642;0;17.351360721096;0.052002080083203;19.916796671867;0;8.3029987866181;28.566475992373;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T141500;20191001T143000;9.1937765205092;0;0;7.1074964639321;6.0289957567185;0;0;0;0;0.3005657708628;3.2178217821782;0;17.69801980198;0.053041018387553;19.625176803395;0;8.2036775106082;28.235502121641;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T143000;20191001T144500;9.3491549802229;0;0;7.2455951096728;6.1668464581086;0;0;0;0;0.32362459546926;3.272204243078;0;17.997123336929;0.053937432578209;18.932038834951;0;8.3423229054297;27.975548363898;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T144500;20191001T150000;9.5834869148544;0;0;7.4272023590122;6.3214154072982;0;0;0;0;0.33173608551419;3.3726502027276;0;18.448212311095;0.055289347585698;18.411352746038;0;8.0169553999263;27.681533357906;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T150000;20191001T151500;9.833899584749;0;0;7.60664401661;6.5118912797282;0;0;0;0;0.32087580218951;3.4730086825217;0;18.893922234806;0.056625141562854;17.308418271046;0;7.3046432616082;28.312570781427;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T151500;20191001T153000;10.06168080185;0;0;7.787201233616;6.6499614494988;0;0;0;0;0.42405551272167;3.4695451040864;0;19.275250578258;0.057825751734773;15.59367771781;0;6.7848882035466;29.510408635312;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T153000;20191001T154500;10.336633663366;0;0;8;6.8118811881188;0;0;0;0;0.51485148514851;3.6435643564356;0;19.80198019802;0.059405940594059;14.613861386139;0;6.4950495049505;29.326732673267;github.com/GreenCharge/PMC.gridmix
